Title,Year,Month,Day,Hour
seasonal functional autoregressive models,2019,8,17,0
seasonal functional autoregressive models,2018,12,9,0
yule-walker estimates for continuous-time autoregressive models,1993,7,16,2
continuous-time threshold autoregressive modelling,1992,12,17,0
continuous time threshold autoregressive models,1991,2,16,1
