Title,Year,Month,Day,Hour
keys to data fluency: shared understanding,2021,5,19,19
keys to data fluency: new decision-making behaviors,2021,4,25,23
keys to data fluency: matching tools to user needs,2021,4,21,12
keys to data fluency: believe in your front-line decision-makers,2021,4,19,12
keys to data fluency: creating the data product ecosystem,2021,4,12,21
keys to data fluency: less data  more insights,2021,4,1,12
