Title,Year,Month,Day,Hour
acems forecasting workshop,2018,7,26,0
forecasting workshop in perth,2017,7,30,0
call for forecasting workshops in cairns  australia,2016,9,28,15
multivariate time series modelling and forecasting workshop,2012,9,3,6
six places left for the forecasting workshop,2011,1,11,0
forecasting workshop: switzerland  june 2011,2010,12,6,8
