Title,Year,Month,Day,Hour
"ce soir: paris machine learning meetup #2 season 7: symbolic maths  data generation thru gan  ""prevision retards"" @sncf  retail and ai  rapids.ai leveraging gpus",2019,12,11,12
paris machine learning meetup #1 season 7: neuroscience & ai  time series  deep transfert learning in nlp  media campaign  energy forecasting,2019,11,13,14
paris machine learning meetup hors série #1: a talk with françois chollet hors série with françois chollet  (creator of the keras library),2019,11,9,9
