Title,Year,Month,Day,Hour
state space models,2014,5,30,1
forecasting with exponential smoothing: the state space approach,2010,7,6,12
a multivariate innovations state space beveridge-nelson decomposition,2009,1,1,23
a state space model for exponential smoothing with group seasonality,2007,5,29,1
time series forecasting: the case for the single source of error state space approach,2005,4,2,1
prediction intervals for exponential smoothing using two new classes of state space models,2005,1,16,3
a state space framework for automatic forecasting using exponential smoothing methods,2002,7,16,3
