Title,Year,Month,Day,Hour
a feature-based procedure for detecting technical outliers in water-quality data from in situ sensors,2019,9,17,0
predicting sediment and nutrient concentrations from high-frequency water-quality data,2019,8,23,0
a framework for automated anomaly detection in high frequency water-quality data from in situ sensors,2019,2,6,0
