Title,Year,Month,Day,Hour
estimating a nonlinear time series model in r,2014,1,21,4
coherent mortality forecasting: the product-ratio method with functional time series models,2013,2,1,7
multivariate time series modelling and forecasting workshop,2012,9,3,6
some properties and generalizations of non-negative bayesian time series models,1997,7,16,2
highest density forecast regions for non-linear and non-normal time series models,1995,7,16,2
