Title,Year,Month,Day,Hour
gefcom2017: hierarchical probabilistic load forecasting,2016,10,14,14
a gradient boosting approach to the kaggle load forecasting competition,2014,4,1,4
short-term load forecasting based on a semi-parametric additive model,2012,2,1,6
short-term load forecasting based on a semi-parametric additive model,2010,7,21,9
