Title,Year,Month,Day,Hour
using ggplot2 for functional time series,2018,12,12,0
data visualization for functional time series,2018,12,11,0
grouped functional time series forecasting: an application to age-specific mortality rates,2017,4,25,0
functional time series with applications in demography,2014,6,24,2
coherent mortality forecasting using functional time series,2013,10,11,5
coherent mortality forecasting: the product-ratio method with functional time series models,2013,2,1,7
forecasting functional time series,2009,7,23,23
forecasting functional time series,2008,2,22,7
